2026-09-18 21:41:23.950 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:42:18.893 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:42:21.488 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:42:21.488 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:43:24.065 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:43:26.680 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:43:26.680 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:45:04.108 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:45:06.666 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:45:06.667 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:46:23.595 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:46:26.118 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:46:26.119 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:47:13.566 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:47:16.137 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:47:16.137 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:47:51.073 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:47:53.783 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:47:53.784 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:48:14.725 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:48:17.229 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:48:17.229 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:48:43.095 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:48:45.626 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:48:45.626 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:49:18.558 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:49:21.228 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:49:21.228 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:49:23.981 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:49:24.113 [main] WARN  com.example.demo.utils.SpringContextUtil -[traceId=,spanId=]- Original apx will be override:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2531c319, started on Fri Sep 18 21:49:22 CST 2026
2026-09-18 21:49:24.956 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
